dataset,source,epoch,warmup_total,train_loss,train_fused_or_both_acc,train_mod1_acc,train_mod2_acc,val_acc,val_mod1_acc,val_mod2_acc
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,13,20,0.0520,1.0000,1.0000,0.9975,0.7064,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,14,20,0.0318,1.0000,1.0000,1.0000,0.6957,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,15,20,0.0307,1.0000,1.0000,0.9987,0.6988,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,16,20,0.0244,1.0000,1.0000,1.0000,0.6988,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,17,20,0.0298,1.0000,1.0000,1.0000,0.7141,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,18,20,0.0148,1.0000,1.0000,1.0000,0.7110,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,19,20,0.0203,1.0000,1.0000,0.9987,0.7003,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,0,20,5.9688,0.4569,0.4298,0.3738,0.4904,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,1,20,3.5517,0.6840,0.6651,0.5869,0.5600,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,2,20,2.4573,0.7957,0.7797,0.6860,0.5778,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,3,20,1.7211,0.8754,0.8604,0.7546,0.5973,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,4,20,1.1678,0.9303,0.9133,0.8341,0.6040,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,5,20,0.7673,0.9667,0.9530,0.8707,0.5999,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,6,20,0.4810,0.9879,0.9794,0.9231,0.6100,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,7,20,0.3215,0.9961,0.9861,0.9523,0.6134,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,8,20,0.2434,0.9987,0.9902,0.9680,0.6038,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,9,20,0.1677,0.9990,0.9954,0.9755,0.5903,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,10,20,0.1424,0.9992,0.9938,0.9814,0.6044,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,11,20,0.0868,1.0000,0.9972,0.9902,0.6068,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,12,20,0.0715,1.0000,0.9990,0.9928,0.5954,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,13,20,0.0603,1.0000,0.9987,0.9928,0.6104,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,14,20,0.0391,0.9997,0.9992,0.9969,0.6076,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,15,20,0.0406,0.9997,0.9992,0.9943,0.6059,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,16,20,0.0363,1.0000,0.9990,0.9961,0.6066,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,17,20,0.0342,1.0000,0.9990,0.9972,0.5965,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,18,20,0.0321,0.9997,0.9992,0.9969,0.6053,NA,NA
SUN,RGB_v5/savepath/sun_rgbd/dml_sun_seed0_lr0.0001/training.log,19,20,0.0229,1.0000,0.9992,0.9979,0.6096,NA,NA
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,36,70,0.9463,0.9932,0.9872,0.6633,0.6480,0.5671,0.4669
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,37,70,0.9158,0.9963,0.9934,0.6652,0.6268,0.5504,0.4746
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,38,70,0.9039,0.9927,0.9886,0.6875,0.6615,0.5857,0.4438
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,39,70,0.9430,0.9899,0.9797,0.6763,0.6583,0.5639,0.5061
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,40,70,0.9747,0.9867,0.9753,0.6708,0.6044,0.5401,0.4753
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,41,70,0.9572,0.9879,0.9804,0.6771,0.6866,0.5857,0.5427
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,42,70,0.9052,0.9920,0.9847,0.6804,0.6294,0.5620,0.4618
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,43,70,0.8599,0.9973,0.9935,0.6833,0.6647,0.6012,0.4066
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,44,70,0.8577,0.9952,0.9886,0.6940,0.6596,0.5639,0.4894
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,45,70,0.8511,0.9978,0.9934,0.6839,0.6680,0.5857,0.4682
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,46,70,0.8178,0.9973,0.9920,0.7051,0.6596,0.5857,0.4868
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,47,70,0.8349,0.9966,0.9910,0.6943,0.5941,0.5222,0.4194
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,48,70,0.8224,0.9969,0.9954,0.6984,0.6384,0.5890,0.3751
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,49,70,0.7993,0.9986,0.9976,0.7027,0.6609,0.5838,0.4489
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,50,70,0.8155,0.9973,0.9956,0.7069,0.6069,0.5382,0.4888
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,51,70,0.8395,0.9925,0.9850,0.7063,0.6044,0.5446,0.4560
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,52,70,0.7910,0.9976,0.9942,0.7149,0.6532,0.5806,0.5164
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,53,70,0.8012,0.9957,0.9915,0.7126,0.6821,0.5639,0.4695
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,54,70,0.7950,0.9963,0.9923,0.7080,0.6487,0.5491,0.5414
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,55,70,0.7877,0.9963,0.9922,0.7206,0.6814,0.5986,0.4875
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,56,70,0.8039,0.9961,0.9927,0.7107,0.6532,0.5793,0.5311
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,57,70,0.7764,0.9959,0.9918,0.7131,0.6596,0.5780,0.4393
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,58,70,0.7704,0.9973,0.9940,0.7221,0.6680,0.5870,0.4836
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,59,70,0.7640,0.9968,0.9952,0.7228,0.6647,0.5755,0.4990
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,60,70,0.7450,0.9983,0.9959,0.7253,0.6673,0.5973,0.5080
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,61,70,0.7314,0.9978,0.9956,0.7313,0.6185,0.5408,0.4592
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,62,70,0.7875,0.9966,0.9911,0.7248,0.6673,0.6037,0.4412
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,63,70,0.7293,0.9981,0.9940,0.7350,0.6654,0.5478,0.5112
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,64,70,0.7831,0.9930,0.9864,0.7328,0.6114,0.5106,0.4778
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,65,70,0.7492,0.9976,0.9927,0.7332,0.6609,0.6057,0.4644
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,66,70,0.7331,0.9969,0.9920,0.7345,0.6628,0.5947,0.4978
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,67,70,0.7237,0.9973,0.9945,0.7425,0.5973,0.5485,0.4984
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,68,70,0.7145,0.9973,0.9925,0.7425,0.6628,0.5594,0.4978
CREMAD,C:/Users/Administrator/.codex/attachments/06d6e86e-2aeb-4640-aaca-ae135ffd351f/pasted-text.txt,69,70,0.7367,0.9980,0.9951,0.7318,0.6609,0.5652,0.4624
